image_id,split,class_id,class_name,file_name,original_path,cropped_path,width,height,quality_score,color_confidence,background_complexity,foreground_dominant_share,preliminary_color_guess,selection_rank,selection_bucket,selection_notes,split_or_subset
test_05126,test,140,Hyundai Azera Sedan 2012,test_05126.jpg,data/raw/stanford_cars/cars_test/05126.jpg,data/processed/stanford_cars/clean_crops/test_05126.jpg,415,256,0.9028,0.98,0.5765,0.642,blue,1,guaranteed_blue,subset=stanford_cars_clean_main120; color=blue; quality_score=0.9028; bucket=guaranteed_blue,stanford_cars_clean_main120
test_06162,test,11,Aston Martin Virage Coupe 2012,test_06162.jpg,data/raw/stanford_cars/cars_test/06162.jpg,data/processed/stanford_cars/clean_crops/test_06162.jpg,419,256,0.7958,0.937,0.5544,0.1114,other,77,quality_ranked_fill,subset=stanford_cars_clean_main120; color=other; quality_score=0.7958; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_00925,train,73,Chevrolet Malibu Sedan 2007,train_00925.jpg,data/raw/stanford_cars/cars_train/00925.jpg,data/processed/stanford_cars/clean_crops/train_00925.jpg,394,256,0.7958,0.843,0.4194,0.2243,silver,78,guaranteed_silver,subset=stanford_cars_clean_main120; color=silver; quality_score=0.7958; bucket=guaranteed_silver,stanford_cars_clean_main120
test_00667,test,159,Mazda Tribute SUV 2011,test_00667.jpg,data/raw/stanford_cars/cars_test/00667.jpg,data/processed/stanford_cars/clean_crops/test_00667.jpg,438,256,0.7955,0.924,0.504,0.118,yellow,79,quality_ranked_fill,subset=stanford_cars_clean_main120; color=yellow; quality_score=0.7955; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_02863,train,108,Ford Freestar Minivan 2007,train_02863.jpg,data/raw/stanford_cars/cars_train/02863.jpg,data/processed/stanford_cars/clean_crops/train_02863.jpg,395,256,0.7954,0.94,0.5665,0.08,red,80,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.7954; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_06236,train,23,Audi S4 Sedan 2012,train_06236.jpg,data/raw/stanford_cars/cars_train/06236.jpg,data/processed/stanford_cars/clean_crops/train_06236.jpg,387,256,0.7947,0.948,0.5472,0.207,red,81,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.7947; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_05875,test,21,Audi S5 Convertible 2012,test_05875.jpg,data/raw/stanford_cars/cars_test/05875.jpg,data/processed/stanford_cars/clean_crops/test_05875.jpg,385,256,0.7945,0.944,0.4492,0.046,blue,82,quality_ranked_fill,subset=stanford_cars_clean_main120; color=blue; quality_score=0.7945; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_08002,test,90,Dodge Dakota Crew Cab 2010,test_08002.jpg,data/raw/stanford_cars/cars_test/08002.jpg,data/processed/stanford_cars/clean_crops/test_08002.jpg,377,256,0.7944,0.806,0.3639,0.2371,black,83,quality_ranked_fill,subset=stanford_cars_clean_main120; color=black; quality_score=0.7944; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_04242,test,82,Daewoo Nubira Wagon 2002,test_04242.jpg,data/raw/stanford_cars/cars_test/04242.jpg,data/processed/stanford_cars/clean_crops/test_04242.jpg,405,256,0.7941,0.925,0.5235,0.0966,blue,84,quality_ranked_fill,subset=stanford_cars_clean_main120; color=blue; quality_score=0.7941; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_03719,test,167,Mitsubishi Lancer Sedan 2012,test_03719.jpg,data/raw/stanford_cars/cars_test/03719.jpg,data/processed/stanford_cars/clean_crops/test_03719.jpg,424,256,0.7939,0.944,0.5859,0.0687,red,85,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.7939; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_02925,test,110,Ford Edge SUV 2012,test_02925.jpg,data/raw/stanford_cars/cars_test/02925.jpg,data/processed/stanford_cars/clean_crops/test_02925.jpg,500,256,0.7936,0.941,0.5785,0.1799,red,86,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.7936; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_00913,train,152,Lamborghini Gallardo LP 570-4 Superleggera 2012,train_00913.jpg,data/raw/stanford_cars/cars_train/00913.jpg,data/processed/stanford_cars/clean_crops/train_00913.jpg,342,256,0.7933,0.948,0.5253,0.2279,green,87,guaranteed_green,subset=stanford_cars_clean_main120; color=green; quality_score=0.7933; bucket=guaranteed_green,stanford_cars_clean_main120
train_00046,train,25,Audi TT RS Coupe 2012,train_00046.jpg,data/raw/stanford_cars/cars_train/00046.jpg,data/processed/stanford_cars/clean_crops/train_00046.jpg,418,256,0.7921,0.949,0.4181,0.1133,red,88,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.7921; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_01561,test,125,HUMMER H2 SUT Crew Cab 2009,test_01561.jpg,data/raw/stanford_cars/cars_test/01561.jpg,data/processed/stanford_cars/clean_crops/test_01561.jpg,378,256,0.7918,0.959,0.6358,0.2652,red,89,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.7918; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_06708,test,94,Dodge Durango SUV 2012,test_06708.jpg,data/raw/stanford_cars/cars_test/06708.jpg,data/processed/stanford_cars/clean_crops/test_06708.jpg,422,256,0.7908,0.918,0.4583,0.2765,blue,90,quality_ranked_fill,subset=stanford_cars_clean_main120; color=blue; quality_score=0.7908; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_08030,test,113,Ford F-150 Regular Cab 2012,test_08030.jpg,data/raw/stanford_cars/cars_test/08030.jpg,data/processed/stanford_cars/clean_crops/test_08030.jpg,417,256,0.7905,0.945,0.6191,0.07,blue,91,quality_ranked_fill,subset=stanford_cars_clean_main120; color=blue; quality_score=0.7905; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_07534,test,167,Mitsubishi Lancer Sedan 2012,test_07534.jpg,data/raw/stanford_cars/cars_test/07534.jpg,data/processed/stanford_cars/clean_crops/test_07534.jpg,377,256,0.7899,0.944,0.426,0.0622,blue,92,quality_ranked_fill,subset=stanford_cars_clean_main120; color=blue; quality_score=0.7899; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_01346,train,13,Audi A5 Coupe 2012,train_01346.jpg,data/raw/stanford_cars/cars_train/01346.jpg,data/processed/stanford_cars/clean_crops/train_01346.jpg,426,256,0.7898,0.773,0.4806,0.4458,other,93,quality_ranked_fill,subset=stanford_cars_clean_main120; color=other; quality_score=0.7898; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_05438,test,133,Hyundai Veracruz SUV 2012,test_05438.jpg,data/raw/stanford_cars/cars_test/05438.jpg,data/processed/stanford_cars/clean_crops/test_05438.jpg,399,256,0.7895,0.828,0.6336,0.5076,black,94,quality_ranked_fill,subset=stanford_cars_clean_main120; color=black; quality_score=0.7895; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_03125,train,170,Nissan Juke Hatchback 2012,train_03125.jpg,data/raw/stanford_cars/cars_train/03125.jpg,data/processed/stanford_cars/clean_crops/train_03125.jpg,410,256,0.7894,0.795,0.3455,0.2227,gray,95,quality_ranked_fill,subset=stanford_cars_clean_main120; color=gray; quality_score=0.7894; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_06880,train,72,Chevrolet Monte Carlo Coupe 2007,train_06880.jpg,data/raw/stanford_cars/cars_train/06880.jpg,data/processed/stanford_cars/clean_crops/train_06880.jpg,452,256,0.7893,0.927,0.5918,0.0528,blue,96,quality_ranked_fill,subset=stanford_cars_clean_main120; color=blue; quality_score=0.7893; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_04878,train,96,Dodge Charger Sedan 2012,train_04878.jpg,data/raw/stanford_cars/cars_train/04878.jpg,data/processed/stanford_cars/clean_crops/train_04878.jpg,354,256,0.7886,0.96,0.6266,0.3193,red,97,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.7886; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_00209,test,87,Dodge Ram Pickup 3500 Quad Cab 2009,test_00209.jpg,data/raw/stanford_cars/cars_test/00209.jpg,data/processed/stanford_cars/clean_crops/test_00209.jpg,355,256,0.7885,0.797,0.0635,0.2688,gray,98,quality_ranked_fill,subset=stanford_cars_clean_main120; color=gray; quality_score=0.7885; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_03515,train,144,Jaguar XK XKR 2012,train_03515.jpg,data/raw/stanford_cars/cars_train/03515.jpg,data/processed/stanford_cars/clean_crops/train_03515.jpg,359,256,0.788,0.83,0.0436,0.1537,white,99,quality_ranked_fill,subset=stanford_cars_clean_main120; color=white; quality_score=0.788; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_06464,train,113,Ford F-150 Regular Cab 2012,train_06464.jpg,data/raw/stanford_cars/cars_train/06464.jpg,data/processed/stanford_cars/clean_crops/train_06464.jpg,341,256,0.7879,0.953,0.5366,0.1553,red,100,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.7879; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_01310,train,172,Plymouth Neon Coupe 1999,train_01310.jpg,data/raw/stanford_cars/cars_train/01310.jpg,data/processed/stanford_cars/clean_crops/train_01310.jpg,419,256,0.7878,0.941,0.5048,0.1142,blue,101,quality_ranked_fill,subset=stanford_cars_clean_main120; color=blue; quality_score=0.7878; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_04721,test,172,Plymouth Neon Coupe 1999,test_04721.jpg,data/raw/stanford_cars/cars_test/04721.jpg,data/processed/stanford_cars/clean_crops/test_04721.jpg,441,256,0.7877,0.919,0.5883,0.0457,red,102,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.7877; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_05773,train,130,Hyundai Veloster Hatchback 2012,train_05773.jpg,data/raw/stanford_cars/cars_train/05773.jpg,data/processed/stanford_cars/clean_crops/train_05773.jpg,441,256,0.7877,0.889,0.4885,0.1539,white,103,quality_ranked_fill,subset=stanford_cars_clean_main120; color=white; quality_score=0.7877; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_01993,test,71,Chevrolet Express Van 2007,test_01993.jpg,data/raw/stanford_cars/cars_test/01993.jpg,data/processed/stanford_cars/clean_crops/test_01993.jpg,372,256,0.7876,0.801,0.5384,0.2726,gray,104,quality_ranked_fill,subset=stanford_cars_clean_main120; color=gray; quality_score=0.7876; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_05228,test,172,Plymouth Neon Coupe 1999,test_05228.jpg,data/raw/stanford_cars/cars_test/05228.jpg,data/processed/stanford_cars/clean_crops/test_05228.jpg,410,256,0.7871,0.939,0.6347,0.0775,blue,105,quality_ranked_fill,subset=stanford_cars_clean_main120; color=blue; quality_score=0.7871; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_01358,train,59,Chevrolet Camaro Convertible 2012,train_01358.jpg,data/raw/stanford_cars/cars_train/01358.jpg,data/processed/stanford_cars/clean_crops/train_01358.jpg,430,256,0.7871,0.816,0.31,0.1525,gray,106,quality_ranked_fill,subset=stanford_cars_clean_main120; color=gray; quality_score=0.7871; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_02890,train,168,Nissan Leaf Hatchback 2012,train_02890.jpg,data/raw/stanford_cars/cars_train/02890.jpg,data/processed/stanford_cars/clean_crops/train_02890.jpg,455,256,0.787,0.92,0.5948,0.0471,red,107,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.787; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_04452,test,79,Chrysler 300 SRT-8 2010,test_04452.jpg,data/raw/stanford_cars/cars_test/04452.jpg,data/processed/stanford_cars/clean_crops/test_04452.jpg,380,256,0.7869,0.938,0.6177,0.139,red,108,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.7869; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_02408,train,154,Land Rover Range Rover SUV 2012,train_02408.jpg,data/raw/stanford_cars/cars_train/02408.jpg,data/processed/stanford_cars/clean_crops/train_02408.jpg,385,256,0.7869,0.905,0.5872,0.2636,blue,109,quality_ranked_fill,subset=stanford_cars_clean_main120; color=blue; quality_score=0.7869; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_03865,test,93,Dodge Challenger SRT8 2011,test_03865.jpg,data/raw/stanford_cars/cars_test/03865.jpg,data/processed/stanford_cars/clean_crops/test_03865.jpg,425,256,0.7868,0.816,0.4943,0.241,white,110,quality_ranked_fill,subset=stanford_cars_clean_main120; color=white; quality_score=0.7868; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_03134,train,121,GMC Acadia SUV 2012,train_03134.jpg,data/raw/stanford_cars/cars_train/03134.jpg,data/processed/stanford_cars/clean_crops/train_03134.jpg,385,256,0.7865,0.95,0.4549,0.2666,blue,111,quality_ranked_fill,subset=stanford_cars_clean_main120; color=blue; quality_score=0.7865; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_07790,train,102,Ferrari California Convertible 2012,train_07790.jpg,data/raw/stanford_cars/cars_train/07790.jpg,data/processed/stanford_cars/clean_crops/train_07790.jpg,384,256,0.7864,0.921,0.589,0.1113,red,112,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.7864; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_01917,train,132,Hyundai Tucson SUV 2012,train_01917.jpg,data/raw/stanford_cars/cars_train/01917.jpg,data/processed/stanford_cars/clean_crops/train_01917.jpg,389,256,0.7859,0.852,0.5173,0.2439,white,113,quality_ranked_fill,subset=stanford_cars_clean_main120; color=white; quality_score=0.7859; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_05187,test,40,Bentley Arnage Sedan 2009,test_05187.jpg,data/raw/stanford_cars/cars_test/05187.jpg,data/processed/stanford_cars/clean_crops/test_05187.jpg,388,256,0.7857,0.793,0.5106,0.2631,gray,114,quality_ranked_fill,subset=stanford_cars_clean_main120; color=gray; quality_score=0.7857; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_04049,train,77,Chrysler Sebring Convertible 2010,train_04049.jpg,data/raw/stanford_cars/cars_train/04049.jpg,data/processed/stanford_cars/clean_crops/train_04049.jpg,388,256,0.7851,0.947,0.5824,0.082,red,115,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.7851; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_03923,train,48,Buick Rainier SUV 2007,train_03923.jpg,data/raw/stanford_cars/cars_train/03923.jpg,data/processed/stanford_cars/clean_crops/train_03923.jpg,362,256,0.7844,0.937,0.5073,0.0636,red,116,quality_ranked_fill,subset=stanford_cars_clean_main120; color=red; quality_score=0.7844; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_05759,train,63,Chevrolet Sonic Sedan 2012,train_05759.jpg,data/raw/stanford_cars/cars_train/05759.jpg,data/processed/stanford_cars/clean_crops/train_05759.jpg,455,256,0.7841,0.857,0.0346,0.4173,black,117,quality_ranked_fill,subset=stanford_cars_clean_main120; color=black; quality_score=0.7841; bucket=quality_ranked_fill,stanford_cars_clean_main120
test_00392,test,121,GMC Acadia SUV 2012,test_00392.jpg,data/raw/stanford_cars/cars_test/00392.jpg,data/processed/stanford_cars/clean_crops/test_00392.jpg,384,256,0.7838,0.822,0.5599,0.2561,gray,118,quality_ranked_fill,subset=stanford_cars_clean_main120; color=gray; quality_score=0.7838; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_06414,train,120,GMC Yukon Hybrid SUV 2012,train_06414.jpg,data/raw/stanford_cars/cars_train/06414.jpg,data/processed/stanford_cars/clean_crops/train_06414.jpg,406,256,0.7832,0.957,0.4539,0.2543,blue,119,quality_ranked_fill,subset=stanford_cars_clean_main120; color=blue; quality_score=0.7832; bucket=quality_ranked_fill,stanford_cars_clean_main120
train_00272,train,100,FIAT 500 Convertible 2012,train_00272.jpg,data/raw/stanford_cars/cars_train/00272.jpg,data/processed/stanford_cars/clean_crops/train_00272.jpg,464,256,0.7827,0.86,0.4768,0.15,white,120,quality_ranked_fill,subset=stanford_cars_clean_main120; color=white; quality_score=0.7827; bucket=quality_ranked_fill,stanford_cars_clean_main120
