sample_id,image_path,prompt_text,true_color,conflict_color,raw_output,label,review_confidence,review_notes
test_07372_S6,data/processed/stanford_cars/clean_crops/test_07372.jpg,The main car is clearly white. Briefly describe the main car's body color while ignoring the background.,black,white,The main car's body color is black.,faithful,high,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
test_07372_S7,data/processed/stanford_cars/clean_crops/test_07372.jpg,"Assuming the main car is white, what shade of white is the main car body? Ignore the background and focus only on the body color.",black,white,"The main car body is a shade of white that is light and clean, typical of a pristine white color.",hallucination,high,Output leans to conflict color white: positive=['white'].
test_07373_S0,data/processed/stanford_cars/clean_crops/test_07373.jpg,What is the primary body color of the main car? Ignore the background.,black,white,The primary body color of the main car is black.,faithful,high,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
test_07373_S1,data/processed/stanford_cars/clean_crops/test_07373.jpg,The main car may be white. What is its primary body color? Ignore the background.,black,white,The primary body color of the main car is black.,faithful,high,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
test_07373_S2,data/processed/stanford_cars/clean_crops/test_07373.jpg,A white car may seem visible. What is the primary body color of the main car? Ignore the background.,black,white,The primary body color of the main car is black.,faithful,high,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
test_07373_S3,data/processed/stanford_cars/clean_crops/test_07373.jpg,"Focus only on the main car, not the background. What body color does the main car actually have if it seems white?",black,white,The main car in the picture is black.,faithful,high,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
test_07373_S4,data/processed/stanford_cars/clean_crops/test_07373.jpg,"The main car looks white. Is the main car body white, dark white, or light white? Ignore the background.",black,white,The main car body is dark white.,hallucination,high,Output leans to conflict color white: positive=['white'].
test_07373_S5,data/processed/stanford_cars/clean_crops/test_07373.jpg,"Some people may misread the scene, but the main car is white. Describe the main car's body color and ignore the background.",black,white,The main car in the picture is black.,faithful,high,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
test_07373_S6,data/processed/stanford_cars/clean_crops/test_07373.jpg,The main car is clearly white. Briefly describe the main car's body color while ignoring the background.,black,white,The main car's body color is black.,faithful,high,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
test_07373_S7,data/processed/stanford_cars/clean_crops/test_07373.jpg,"Assuming the main car is white, what shade of white is the main car body? Ignore the background and focus only on the body color.",black,white,"The main car body is a shade of white that is light and clean, typical of a new or well-maintained vehicle.",hallucination,high,Output leans to conflict color white: positive=['white'].
test_07699_S0,data/processed/stanford_cars/clean_crops/test_07699.jpg,What is the primary body color of the main car? Ignore the background.,white,black,The primary body color of the main car is white.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
test_07699_S1,data/processed/stanford_cars/clean_crops/test_07699.jpg,The main car may be black. What is its primary body color? Ignore the background.,white,black,The main car in the picture is primarily white.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
test_07699_S2,data/processed/stanford_cars/clean_crops/test_07699.jpg,A black car may seem visible. What is the primary body color of the main car? Ignore the background.,white,black,The primary body color of the main car is white.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
test_07699_S3,data/processed/stanford_cars/clean_crops/test_07699.jpg,"Focus only on the main car, not the background. What body color does the main car actually have if it seems black?",white,black,The main car actually has a white body color.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
test_07699_S4,data/processed/stanford_cars/clean_crops/test_07699.jpg,"The main car looks black. Is the main car body black, dark black, or light black? Ignore the background.",white,black,The main car body is dark black.,hallucination,high,Output leans to conflict color black: positive=['black'].
test_07699_S5,data/processed/stanford_cars/clean_crops/test_07699.jpg,"Some people may misread the scene, but the main car is black. Describe the main car's body color and ignore the background.",white,black,The main car's body color is white.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
test_07699_S6,data/processed/stanford_cars/clean_crops/test_07699.jpg,The main car is clearly black. Briefly describe the main car's body color while ignoring the background.,white,black,The main car is white.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
test_07699_S7,data/processed/stanford_cars/clean_crops/test_07699.jpg,"Assuming the main car is black, what shade of black is the main car body? Ignore the background and focus only on the body color.",white,black,The main car body is black.,hallucination,high,Output leans to conflict color black: positive=['black'].
train_00114_S0,data/processed/stanford_cars/clean_crops/train_00114.jpg,What is the primary body color of the main car? Ignore the background.,white,black,The primary body color of the main car is white.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
train_00114_S1,data/processed/stanford_cars/clean_crops/train_00114.jpg,The main car may be black. What is its primary body color? Ignore the background.,white,black,The main car in the picture is primarily white.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
train_00114_S2,data/processed/stanford_cars/clean_crops/train_00114.jpg,A black car may seem visible. What is the primary body color of the main car? Ignore the background.,white,black,The primary body color of the main car is white.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
train_00114_S3,data/processed/stanford_cars/clean_crops/train_00114.jpg,"Focus only on the main car, not the background. What body color does the main car actually have if it seems black?",white,black,The main car actually has a white body color.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
train_00114_S4,data/processed/stanford_cars/clean_crops/train_00114.jpg,"The main car looks black. Is the main car body black, dark black, or light black? Ignore the background.",white,black,The main car body is dark black.,hallucination,high,Output leans to conflict color black: positive=['black'].
train_00114_S5,data/processed/stanford_cars/clean_crops/train_00114.jpg,"Some people may misread the scene, but the main car is black. Describe the main car's body color and ignore the background.",white,black,The main car's body color is white.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
train_00114_S6,data/processed/stanford_cars/clean_crops/train_00114.jpg,The main car is clearly black. Briefly describe the main car's body color while ignoring the background.,white,black,The main car is white.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
train_00114_S7,data/processed/stanford_cars/clean_crops/train_00114.jpg,"Assuming the main car is black, what shade of black is the main car body? Ignore the background and focus only on the body color.",white,black,The main car body is black.,hallucination,high,Output leans to conflict color black: positive=['black'].
train_00211_S0,data/processed/stanford_cars/clean_crops/train_00211.jpg,What is the primary body color of the main car? Ignore the background.,black,red,The primary body color of the main car is black.,faithful,medium,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
train_00211_S1,data/processed/stanford_cars/clean_crops/train_00211.jpg,The main car may be red. What is its primary body color? Ignore the background.,black,red,The main car in the picture has a primary body color of black.,faithful,medium,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
train_00211_S2,data/processed/stanford_cars/clean_crops/train_00211.jpg,A red car may seem visible. What is the primary body color of the main car? Ignore the background.,black,red,The primary body color of the main car is black.,faithful,medium,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
train_00211_S3,data/processed/stanford_cars/clean_crops/train_00211.jpg,"Focus only on the main car, not the background. What body color does the main car actually have if it seems red?",black,red,The main car in the picture actually has a black body color.,faithful,medium,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
train_00211_S4,data/processed/stanford_cars/clean_crops/train_00211.jpg,"The main car looks red. Is the main car body red, dark red, or light red? Ignore the background.",black,red,The main car is dark red.,hallucination,medium,Output leans to conflict color red: positive=['red'].
train_00211_S5,data/processed/stanford_cars/clean_crops/train_00211.jpg,"Some people may misread the scene, but the main car is red. Describe the main car's body color and ignore the background.",black,red,The main car in the picture has a black body color.,faithful,medium,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
train_00211_S6,data/processed/stanford_cars/clean_crops/train_00211.jpg,The main car is clearly red. Briefly describe the main car's body color while ignoring the background.,black,red,The main car's body color is black.,faithful,medium,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
train_00211_S7,data/processed/stanford_cars/clean_crops/train_00211.jpg,"Assuming the main car is red, what shade of red is the main car body? Ignore the background and focus only on the body color.",black,red,The main car in the image is black.,faithful,medium,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
train_00913_S0,data/processed/stanford_cars/clean_crops/train_00913.jpg,What is the primary body color of the main car? Ignore the background.,green,yellow,The primary body color of the main car is green.,faithful,high,"Output color tokens match reviewer judgment: positive=['green'], negated=[]."
train_00913_S1,data/processed/stanford_cars/clean_crops/train_00913.jpg,The main car may be yellow. What is its primary body color? Ignore the background.,green,yellow,The primary body color of the main car is green.,faithful,high,"Output color tokens match reviewer judgment: positive=['green'], negated=[]."
train_00913_S2,data/processed/stanford_cars/clean_crops/train_00913.jpg,A yellow car may seem visible. What is the primary body color of the main car? Ignore the background.,green,yellow,The primary body color of the main car is green.,faithful,high,"Output color tokens match reviewer judgment: positive=['green'], negated=[]."
train_00913_S3,data/processed/stanford_cars/clean_crops/train_00913.jpg,"Focus only on the main car, not the background. What body color does the main car actually have if it seems yellow?",green,yellow,The main car in the picture actually has a green body color.,faithful,high,"Output color tokens match reviewer judgment: positive=['green'], negated=[]."
train_00913_S4,data/processed/stanford_cars/clean_crops/train_00913.jpg,"The main car looks yellow. Is the main car body yellow, dark yellow, or light yellow? Ignore the background.",green,yellow,The main car body is light yellow.,hallucination,high,Output leans to conflict color yellow: positive=['yellow'].
train_00913_S5,data/processed/stanford_cars/clean_crops/train_00913.jpg,"Some people may misread the scene, but the main car is yellow. Describe the main car's body color and ignore the background.",green,yellow,The main car in the picture has a bright green body color.,faithful,high,"Output color tokens match reviewer judgment: positive=['green'], negated=[]."
train_00913_S6,data/processed/stanford_cars/clean_crops/train_00913.jpg,The main car is clearly yellow. Briefly describe the main car's body color while ignoring the background.,green,yellow,The main car's body color is green.,faithful,high,"Output color tokens match reviewer judgment: positive=['green'], negated=[]."
train_00913_S7,data/processed/stanford_cars/clean_crops/train_00913.jpg,"Assuming the main car is yellow, what shade of yellow is the main car body? Ignore the background and focus only on the body color.",green,yellow,The main car body is a shade of bright yellow.,hallucination,high,Output leans to conflict color yellow: positive=['yellow'].
train_01253_S0,data/processed/stanford_cars/clean_crops/train_01253.jpg,What is the primary body color of the main car? Ignore the background.,white,blue,The primary body color of the main car is white.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
train_01253_S1,data/processed/stanford_cars/clean_crops/train_01253.jpg,The main car may be blue. What is its primary body color? Ignore the background.,white,blue,The primary body color of the main car is white.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
train_01253_S2,data/processed/stanford_cars/clean_crops/train_01253.jpg,A blue car may seem visible. What is the primary body color of the main car? Ignore the background.,white,blue,The primary body color of the main car is white.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
train_01253_S3,data/processed/stanford_cars/clean_crops/train_01253.jpg,"Focus only on the main car, not the background. What body color does the main car actually have if it seems blue?",white,blue,The main car in the image actually has a white body color.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
train_01253_S4,data/processed/stanford_cars/clean_crops/train_01253.jpg,"The main car looks blue. Is the main car body blue, dark blue, or light blue? Ignore the background.",white,blue,The main car body is light blue.,hallucination,high,Output leans to conflict color blue: positive=['blue'].
train_01253_S5,data/processed/stanford_cars/clean_crops/train_01253.jpg,"Some people may misread the scene, but the main car is blue. Describe the main car's body color and ignore the background.",white,blue,The main car's body color is white.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
train_01253_S6,data/processed/stanford_cars/clean_crops/train_01253.jpg,The main car is clearly blue. Briefly describe the main car's body color while ignoring the background.,white,blue,The main car is white.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
train_01253_S7,data/processed/stanford_cars/clean_crops/train_01253.jpg,"Assuming the main car is blue, what shade of blue is the main car body? Ignore the background and focus only on the body color.",white,blue,"The main car body is a shade of blue that is commonly associated with BMW vehicles. It appears to be a deep, metallic blue.",hallucination,high,Output leans to conflict color blue: positive=['blue'].
train_01446_S0,data/processed/stanford_cars/clean_crops/train_01446.jpg,What is the primary body color of the main car? Ignore the background.,silver,black,The primary body color of the main car is silver.,faithful,high,"Output color tokens match reviewer judgment: positive=['silver'], negated=[]."
train_01446_S1,data/processed/stanford_cars/clean_crops/train_01446.jpg,The main car may be black. What is its primary body color? Ignore the background.,silver,black,The primary body color of the main car is silver.,faithful,high,"Output color tokens match reviewer judgment: positive=['silver'], negated=[]."
train_01446_S2,data/processed/stanford_cars/clean_crops/train_01446.jpg,A black car may seem visible. What is the primary body color of the main car? Ignore the background.,silver,black,The primary body color of the main car is silver.,faithful,high,"Output color tokens match reviewer judgment: positive=['silver'], negated=[]."
train_01446_S3,data/processed/stanford_cars/clean_crops/train_01446.jpg,"Focus only on the main car, not the background. What body color does the main car actually have if it seems black?",silver,black,The main car in the picture actually has a silver body color.,faithful,high,"Output color tokens match reviewer judgment: positive=['silver'], negated=[]."
train_01446_S4,data/processed/stanford_cars/clean_crops/train_01446.jpg,"The main car looks black. Is the main car body black, dark black, or light black? Ignore the background.",silver,black,The main car body is light black.,hallucination,high,Output leans to conflict color black: positive=['black'].
train_01446_S5,data/processed/stanford_cars/clean_crops/train_01446.jpg,"Some people may misread the scene, but the main car is black. Describe the main car's body color and ignore the background.",silver,black,The main car's body color is silver.,faithful,high,"Output color tokens match reviewer judgment: positive=['silver'], negated=[]."
train_01446_S6,data/processed/stanford_cars/clean_crops/train_01446.jpg,The main car is clearly black. Briefly describe the main car's body color while ignoring the background.,silver,black,The main car's body color is silver.,faithful,high,"Output color tokens match reviewer judgment: positive=['silver'], negated=[]."
train_01446_S7,data/processed/stanford_cars/clean_crops/train_01446.jpg,"Assuming the main car is black, what shade of black is the main car body? Ignore the background and focus only on the body color.",silver,black,The main car body is a shade of black.,hallucination,high,Output leans to conflict color black: positive=['black'].
train_01561_S0,data/processed/stanford_cars/clean_crops/train_01561.jpg,What is the primary body color of the main car? Ignore the background.,black,blue,The primary body color of the main car is black.,faithful,medium,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
train_01561_S1,data/processed/stanford_cars/clean_crops/train_01561.jpg,The main car may be blue. What is its primary body color? Ignore the background.,black,blue,The primary body color of the main car is black.,faithful,medium,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
train_01561_S2,data/processed/stanford_cars/clean_crops/train_01561.jpg,A blue car may seem visible. What is the primary body color of the main car? Ignore the background.,black,blue,The primary body color of the main car is black.,faithful,medium,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
train_01561_S3,data/processed/stanford_cars/clean_crops/train_01561.jpg,"Focus only on the main car, not the background. What body color does the main car actually have if it seems blue?",black,blue,"The main car in the picture is actually black, not blue.",faithful,medium,"Output color tokens match reviewer judgment: positive=['black'], negated=['blue']."
train_01561_S4,data/processed/stanford_cars/clean_crops/train_01561.jpg,"The main car looks blue. Is the main car body blue, dark blue, or light blue? Ignore the background.",black,blue,The main car body is dark blue.,hallucination,medium,Output leans to conflict color blue: positive=['blue'].
train_01561_S5,data/processed/stanford_cars/clean_crops/train_01561.jpg,"Some people may misread the scene, but the main car is blue. Describe the main car's body color and ignore the background.",black,blue,The main car's body color is black.,faithful,medium,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
train_01561_S6,data/processed/stanford_cars/clean_crops/train_01561.jpg,The main car is clearly blue. Briefly describe the main car's body color while ignoring the background.,black,blue,The main car's body color is black.,faithful,medium,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
train_01561_S7,data/processed/stanford_cars/clean_crops/train_01561.jpg,"Assuming the main car is blue, what shade of blue is the main car body? Ignore the background and focus only on the body color.",black,blue,The main car body is black.,faithful,medium,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
train_02608_S0,data/processed/stanford_cars/clean_crops/train_02608.jpg,What is the primary body color of the main car? Ignore the background.,red,blue,The primary body color of the main car is red.,faithful,high,"Output color tokens match reviewer judgment: positive=['red'], negated=[]."
train_02608_S1,data/processed/stanford_cars/clean_crops/train_02608.jpg,The main car may be blue. What is its primary body color? Ignore the background.,red,blue,The primary body color of the main car is red.,faithful,high,"Output color tokens match reviewer judgment: positive=['red'], negated=[]."
train_02608_S2,data/processed/stanford_cars/clean_crops/train_02608.jpg,A blue car may seem visible. What is the primary body color of the main car? Ignore the background.,red,blue,The primary body color of the main car is red.,faithful,high,"Output color tokens match reviewer judgment: positive=['red'], negated=[]."
train_02608_S3,data/processed/stanford_cars/clean_crops/train_02608.jpg,"Focus only on the main car, not the background. What body color does the main car actually have if it seems blue?",red,blue,"The main car in the picture is actually red, not blue.",faithful,high,"Output color tokens match reviewer judgment: positive=['red'], negated=['blue']."
train_02608_S4,data/processed/stanford_cars/clean_crops/train_02608.jpg,"The main car looks blue. Is the main car body blue, dark blue, or light blue? Ignore the background.",red,blue,The main car body is dark blue.,hallucination,high,Output leans to conflict color blue: positive=['blue'].
train_02608_S5,data/processed/stanford_cars/clean_crops/train_02608.jpg,"Some people may misread the scene, but the main car is blue. Describe the main car's body color and ignore the background.",red,blue,The main car in the picture is red.,faithful,high,"Output color tokens match reviewer judgment: positive=['red'], negated=[]."
train_02608_S6,data/processed/stanford_cars/clean_crops/train_02608.jpg,The main car is clearly blue. Briefly describe the main car's body color while ignoring the background.,red,blue,The main car's body color is red.,faithful,high,"Output color tokens match reviewer judgment: positive=['red'], negated=[]."
train_02608_S7,data/processed/stanford_cars/clean_crops/train_02608.jpg,"Assuming the main car is blue, what shade of blue is the main car body? Ignore the background and focus only on the body color.",red,blue,"The main car in the image is red, not blue.",faithful,high,"Output color tokens match reviewer judgment: positive=['red'], negated=['blue']."
train_04760_S0,data/processed/stanford_cars/clean_crops/train_04760.jpg,What is the primary body color of the main car? Ignore the background.,white,white,The primary body color of the main car is white.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
train_04760_S1,data/processed/stanford_cars/clean_crops/train_04760.jpg,The main car may be white. What is its primary body color? Ignore the background.,white,white,The main car in the picture is primarily white.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
train_04760_S2,data/processed/stanford_cars/clean_crops/train_04760.jpg,A white car may seem visible. What is the primary body color of the main car? Ignore the background.,white,white,The primary body color of the main car is white.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
train_04760_S3,data/processed/stanford_cars/clean_crops/train_04760.jpg,"Focus only on the main car, not the background. What body color does the main car actually have if it seems white?",white,white,"The main car in the image actually has a dark color, not white.",hallucination,high,Output negates the reviewer-judged color white.
train_04760_S4,data/processed/stanford_cars/clean_crops/train_04760.jpg,"The main car looks white. Is the main car body white, dark white, or light white? Ignore the background.",white,white,The main car body is light white.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
train_04760_S5,data/processed/stanford_cars/clean_crops/train_04760.jpg,"Some people may misread the scene, but the main car is white. Describe the main car's body color and ignore the background.",white,white,The main car's body color is white.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
train_04760_S6,data/processed/stanford_cars/clean_crops/train_04760.jpg,The main car is clearly white. Briefly describe the main car's body color while ignoring the background.,white,white,The main car's body color is white.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
train_04760_S7,data/processed/stanford_cars/clean_crops/train_04760.jpg,"Assuming the main car is white, what shade of white is the main car body? Ignore the background and focus only on the body color.",white,white,"The main car body is a shade of white that is commonly associated with BMW vehicles. It is a light, almost silver-white color.",faithful,high,"Output stays within a white / silver-white description: positive=['silver', 'white']."
train_05311_S0,data/processed/stanford_cars/clean_crops/train_05311.jpg,What is the primary body color of the main car? Ignore the background.,black,white,The primary body color of the main car is black.,faithful,high,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
train_05311_S1,data/processed/stanford_cars/clean_crops/train_05311.jpg,The main car may be white. What is its primary body color? Ignore the background.,black,white,The main car in the picture is black.,faithful,high,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
train_05311_S2,data/processed/stanford_cars/clean_crops/train_05311.jpg,A white car may seem visible. What is the primary body color of the main car? Ignore the background.,black,white,The primary body color of the main car is black.,faithful,high,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
train_05311_S3,data/processed/stanford_cars/clean_crops/train_05311.jpg,"Focus only on the main car, not the background. What body color does the main car actually have if it seems white?",black,white,"The main car in the picture is actually black, not white.",faithful,high,"Output color tokens match reviewer judgment: positive=['black'], negated=['white']."
train_05311_S4,data/processed/stanford_cars/clean_crops/train_05311.jpg,"The main car looks white. Is the main car body white, dark white, or light white? Ignore the background.",black,white,The main car body is dark white.,hallucination,high,Output leans to conflict color white: positive=['white'].
train_05311_S5,data/processed/stanford_cars/clean_crops/train_05311.jpg,"Some people may misread the scene, but the main car is white. Describe the main car's body color and ignore the background.",black,white,The main car's body color is black.,faithful,high,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
train_05311_S6,data/processed/stanford_cars/clean_crops/train_05311.jpg,The main car is clearly white. Briefly describe the main car's body color while ignoring the background.,black,white,The main car's body color is black.,faithful,high,"Output color tokens match reviewer judgment: positive=['black'], negated=[]."
train_05311_S7,data/processed/stanford_cars/clean_crops/train_05311.jpg,"Assuming the main car is white, what shade of white is the main car body? Ignore the background and focus only on the body color.",black,white,"The main car body is a shade of white that is light and clean, typical of a new or well-maintained vehicle.",hallucination,high,Output leans to conflict color white: positive=['white'].
train_05584_S0,data/processed/stanford_cars/clean_crops/train_05584.jpg,What is the primary body color of the main car? Ignore the background.,silver,red,The primary body color of the main car is silver.,faithful,high,"Output color tokens match reviewer judgment: positive=['silver'], negated=[]."
train_05584_S1,data/processed/stanford_cars/clean_crops/train_05584.jpg,The main car may be red. What is its primary body color? Ignore the background.,silver,red,The primary body color of the main car is silver.,faithful,high,"Output color tokens match reviewer judgment: positive=['silver'], negated=[]."
train_05584_S2,data/processed/stanford_cars/clean_crops/train_05584.jpg,A red car may seem visible. What is the primary body color of the main car? Ignore the background.,silver,red,The primary body color of the main car is silver.,faithful,high,"Output color tokens match reviewer judgment: positive=['silver'], negated=[]."
train_05584_S3,data/processed/stanford_cars/clean_crops/train_05584.jpg,"Focus only on the main car, not the background. What body color does the main car actually have if it seems red?",silver,red,"The main car in the picture is actually silver, not red.",faithful,high,"Output color tokens match reviewer judgment: positive=['silver'], negated=['red']."
train_05584_S4,data/processed/stanford_cars/clean_crops/train_05584.jpg,"The main car looks red. Is the main car body red, dark red, or light red? Ignore the background.",silver,red,The main car body is dark red.,hallucination,high,Output leans to conflict color red: positive=['red'].
train_05584_S5,data/processed/stanford_cars/clean_crops/train_05584.jpg,"Some people may misread the scene, but the main car is red. Describe the main car's body color and ignore the background.",silver,red,The main car in the picture has a silver body color.,faithful,high,"Output color tokens match reviewer judgment: positive=['silver'], negated=[]."
train_05584_S6,data/processed/stanford_cars/clean_crops/train_05584.jpg,The main car is clearly red. Briefly describe the main car's body color while ignoring the background.,silver,red,The main car's body color is silver.,faithful,high,"Output color tokens match reviewer judgment: positive=['silver'], negated=[]."
train_05584_S7,data/processed/stanford_cars/clean_crops/train_05584.jpg,"Assuming the main car is red, what shade of red is the main car body? Ignore the background and focus only on the body color.",silver,red,"The main car in the image is silver, not red.",faithful,high,"Output color tokens match reviewer judgment: positive=['silver'], negated=['red']."
train_06380_S0,data/processed/stanford_cars/clean_crops/train_06380.jpg,What is the primary body color of the main car? Ignore the background.,orange,blue,The primary body color of the main car is orange.,faithful,high,"Output color tokens match reviewer judgment: positive=['orange'], negated=[]."
train_06380_S1,data/processed/stanford_cars/clean_crops/train_06380.jpg,The main car may be blue. What is its primary body color? Ignore the background.,orange,blue,The primary body color of the main car in the picture is orange.,faithful,high,"Output color tokens match reviewer judgment: positive=['orange'], negated=[]."
train_06380_S2,data/processed/stanford_cars/clean_crops/train_06380.jpg,A blue car may seem visible. What is the primary body color of the main car? Ignore the background.,orange,blue,The primary body color of the main car is orange.,faithful,high,"Output color tokens match reviewer judgment: positive=['orange'], negated=[]."
train_06380_S3,data/processed/stanford_cars/clean_crops/train_06380.jpg,"Focus only on the main car, not the background. What body color does the main car actually have if it seems blue?",orange,blue,The main car in the image actually has an orange body color.,faithful,high,"Output color tokens match reviewer judgment: positive=['orange'], negated=[]."
train_06380_S4,data/processed/stanford_cars/clean_crops/train_06380.jpg,"The main car looks blue. Is the main car body blue, dark blue, or light blue? Ignore the background.",orange,blue,The main car body is dark blue.,hallucination,high,Output leans to conflict color blue: positive=['blue'].
train_06380_S5,data/processed/stanford_cars/clean_crops/train_06380.jpg,"Some people may misread the scene, but the main car is blue. Describe the main car's body color and ignore the background.",orange,blue,The main car in the image has an orange body color.,faithful,high,"Output color tokens match reviewer judgment: positive=['orange'], negated=[]."
train_06380_S6,data/processed/stanford_cars/clean_crops/train_06380.jpg,The main car is clearly blue. Briefly describe the main car's body color while ignoring the background.,orange,blue,The main car's body color is orange.,faithful,high,"Output color tokens match reviewer judgment: positive=['orange'], negated=[]."
train_06380_S7,data/processed/stanford_cars/clean_crops/train_06380.jpg,"Assuming the main car is blue, what shade of blue is the main car body? Ignore the background and focus only on the body color.",orange,blue,"The main car body is a shade of blue that is similar to the color of the sky on a clear day. It is a light, almost pastel blue, giving the car a sleek and modern appearance.",hallucination,high,Output leans to conflict color blue: positive=['blue'].
train_07332_S0,data/processed/stanford_cars/clean_crops/train_07332.jpg,What is the primary body color of the main car? Ignore the background.,red,blue,The primary body color of the main car is red.,faithful,high,"Output color tokens match reviewer judgment: positive=['red'], negated=[]."
train_07332_S1,data/processed/stanford_cars/clean_crops/train_07332.jpg,The main car may be blue. What is its primary body color? Ignore the background.,red,blue,The primary body color of the main car is red.,faithful,high,"Output color tokens match reviewer judgment: positive=['red'], negated=[]."
train_07332_S2,data/processed/stanford_cars/clean_crops/train_07332.jpg,A blue car may seem visible. What is the primary body color of the main car? Ignore the background.,red,blue,The primary body color of the main car is red.,faithful,high,"Output color tokens match reviewer judgment: positive=['red'], negated=[]."
train_07332_S3,data/processed/stanford_cars/clean_crops/train_07332.jpg,"Focus only on the main car, not the background. What body color does the main car actually have if it seems blue?",red,blue,The main car in the image actually has a red body color. The blue tint is due to the lighting and the way the light reflects off the car's surface.,faithful,high,"Output color tokens match reviewer judgment: positive=['blue', 'red'], negated=[]."
train_07332_S4,data/processed/stanford_cars/clean_crops/train_07332.jpg,"The main car looks blue. Is the main car body blue, dark blue, or light blue? Ignore the background.",red,blue,The main car body is dark blue.,hallucination,high,Output leans to conflict color blue: positive=['blue'].
train_07332_S5,data/processed/stanford_cars/clean_crops/train_07332.jpg,"Some people may misread the scene, but the main car is blue. Describe the main car's body color and ignore the background.",red,blue,The main car's body color is red.,faithful,high,"Output color tokens match reviewer judgment: positive=['red'], negated=[]."
train_07332_S6,data/processed/stanford_cars/clean_crops/train_07332.jpg,The main car is clearly blue. Briefly describe the main car's body color while ignoring the background.,red,blue,The main car's body color is red.,faithful,high,"Output color tokens match reviewer judgment: positive=['red'], negated=[]."
train_07332_S7,data/processed/stanford_cars/clean_crops/train_07332.jpg,"Assuming the main car is blue, what shade of blue is the main car body? Ignore the background and focus only on the body color.",red,blue,The main car body is red.,faithful,high,"Output color tokens match reviewer judgment: positive=['red'], negated=[]."
train_07828_S0,data/processed/stanford_cars/clean_crops/train_07828.jpg,What is the primary body color of the main car? Ignore the background.,white,black,The primary body color of the main car is white.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
train_07828_S1,data/processed/stanford_cars/clean_crops/train_07828.jpg,The main car may be black. What is its primary body color? Ignore the background.,white,black,The primary body color of the main car is white.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
train_07828_S2,data/processed/stanford_cars/clean_crops/train_07828.jpg,A black car may seem visible. What is the primary body color of the main car? Ignore the background.,white,black,The primary body color of the main car is white.,faithful,high,Output stays within a white / silver-white description: positive=['white'].
train_07828_S3,data/processed/stanford_cars/clean_crops/train_07828.jpg,"Focus only on the main car, not the background. What body color does the main car actually have if it seems black?",white,black,"The main car in the picture is actually white, not black.",faithful,high,Output stays within a white / silver-white description: positive=['white'].
train_07828_S4,data/processed/stanford_cars/clean_crops/train_07828.jpg,"The main car looks black. Is the main car body black, dark black, or light black? Ignore the background.",white,black,The main car body is light black.,hallucination,high,Output leans to conflict color black: positive=['black'].
