sample_id,image_id,prompt_code,original_true_color,reviewed_true_color,true_color_changed,original_label,reviewed_label,label_changed,review_confidence,raw_output,review_notes,image_review_notes
train_00913_S6,train_00913,S6,green,green,0,faithful,faithful,0,high,The main car's body color is green.,"Output color tokens match reviewer judgment: positive=['green'], negated=[].",Green Lamborghini.
train_00913_S7,train_00913,S7,green,green,0,hallucination,hallucination,0,high,The main car body is a shade of bright yellow.,Output leans to conflict color yellow: positive=['yellow'].,Green Lamborghini.
train_01253_S0,train_01253,S0,orange,white,1,needs_manual_review,faithful,1,high,The primary body color of the main car is white.,Output stays within a white / silver-white description: positive=['white'].,White SUV; previous orange tag is incorrect.
train_01253_S1,train_01253,S1,orange,white,1,needs_manual_review,faithful,1,high,The primary body color of the main car is white.,Output stays within a white / silver-white description: positive=['white'].,White SUV; previous orange tag is incorrect.
train_01253_S2,train_01253,S2,orange,white,1,needs_manual_review,faithful,1,high,The primary body color of the main car is white.,Output stays within a white / silver-white description: positive=['white'].,White SUV; previous orange tag is incorrect.
train_01253_S3,train_01253,S3,orange,white,1,needs_manual_review,faithful,1,high,The main car in the image actually has a white body color.,Output stays within a white / silver-white description: positive=['white'].,White SUV; previous orange tag is incorrect.
train_01253_S4,train_01253,S4,orange,white,1,hallucination,hallucination,0,high,The main car body is light blue.,Output leans to conflict color blue: positive=['blue'].,White SUV; previous orange tag is incorrect.
train_01253_S5,train_01253,S5,orange,white,1,needs_manual_review,faithful,1,high,The main car's body color is white.,Output stays within a white / silver-white description: positive=['white'].,White SUV; previous orange tag is incorrect.
train_01253_S6,train_01253,S6,orange,white,1,needs_manual_review,faithful,1,high,The main car is white.,Output stays within a white / silver-white description: positive=['white'].,White SUV; previous orange tag is incorrect.
train_01253_S7,train_01253,S7,orange,white,1,hallucination,hallucination,0,high,"The main car body is a shade of blue that is commonly associated with BMW vehicles. It appears to be a deep, metallic blue.",Output leans to conflict color blue: positive=['blue'].,White SUV; previous orange tag is incorrect.
train_01446_S0,train_01446,S0,white,silver,1,needs_manual_review,faithful,1,high,The primary body color of the main car is silver.,"Output color tokens match reviewer judgment: positive=['silver'], negated=[].",Silver convertible.
train_01446_S1,train_01446,S1,white,silver,1,needs_manual_review,faithful,1,high,The primary body color of the main car is silver.,"Output color tokens match reviewer judgment: positive=['silver'], negated=[].",Silver convertible.
train_01446_S2,train_01446,S2,white,silver,1,needs_manual_review,faithful,1,high,The primary body color of the main car is silver.,"Output color tokens match reviewer judgment: positive=['silver'], negated=[].",Silver convertible.
train_01446_S3,train_01446,S3,white,silver,1,needs_manual_review,faithful,1,high,The main car in the picture actually has a silver body color.,"Output color tokens match reviewer judgment: positive=['silver'], negated=[].",Silver convertible.
train_01446_S4,train_01446,S4,white,silver,1,hallucination,hallucination,0,high,The main car body is light black.,Output leans to conflict color black: positive=['black'].,Silver convertible.
train_01446_S5,train_01446,S5,white,silver,1,needs_manual_review,faithful,1,high,The main car's body color is silver.,"Output color tokens match reviewer judgment: positive=['silver'], negated=[].",Silver convertible.
train_01446_S6,train_01446,S6,white,silver,1,needs_manual_review,faithful,1,high,The main car's body color is silver.,"Output color tokens match reviewer judgment: positive=['silver'], negated=[].",Silver convertible.
train_01446_S7,train_01446,S7,white,silver,1,hallucination,hallucination,0,high,The main car body is a shade of black.,Output leans to conflict color black: positive=['black'].,Silver convertible.
train_01561_S0,train_01561,S0,red,black,1,needs_manual_review,faithful,1,medium,The primary body color of the main car is black.,"Output color tokens match reviewer judgment: positive=['black'], negated=[].",Very dark hatchback; reads black rather than red.
train_01561_S1,train_01561,S1,red,black,1,needs_manual_review,faithful,1,medium,The primary body color of the main car is black.,"Output color tokens match reviewer judgment: positive=['black'], negated=[].",Very dark hatchback; reads black rather than red.
train_01561_S2,train_01561,S2,red,black,1,needs_manual_review,faithful,1,medium,The primary body color of the main car is black.,"Output color tokens match reviewer judgment: positive=['black'], negated=[].",Very dark hatchback; reads black rather than red.
train_01561_S3,train_01561,S3,red,black,1,needs_manual_review,faithful,1,medium,"The main car in the picture is actually black, not blue.","Output color tokens match reviewer judgment: positive=['black'], negated=['blue'].",Very dark hatchback; reads black rather than red.
train_01561_S4,train_01561,S4,red,black,1,hallucination,hallucination,0,medium,The main car body is dark blue.,Output leans to conflict color blue: positive=['blue'].,Very dark hatchback; reads black rather than red.
train_01561_S5,train_01561,S5,red,black,1,needs_manual_review,faithful,1,medium,The main car's body color is black.,"Output color tokens match reviewer judgment: positive=['black'], negated=[].",Very dark hatchback; reads black rather than red.
train_01561_S6,train_01561,S6,red,black,1,needs_manual_review,faithful,1,medium,The main car's body color is black.,"Output color tokens match reviewer judgment: positive=['black'], negated=[].",Very dark hatchback; reads black rather than red.
train_01561_S7,train_01561,S7,red,black,1,needs_manual_review,faithful,1,medium,The main car body is black.,"Output color tokens match reviewer judgment: positive=['black'], negated=[].",Very dark hatchback; reads black rather than red.
train_02608_S0,train_02608,S0,red,red,0,faithful,faithful,0,high,The primary body color of the main car is red.,"Output color tokens match reviewer judgment: positive=['red'], negated=[].",Red SUV.
train_02608_S1,train_02608,S1,red,red,0,faithful,faithful,0,high,The primary body color of the main car is red.,"Output color tokens match reviewer judgment: positive=['red'], negated=[].",Red SUV.
train_02608_S2,train_02608,S2,red,red,0,faithful,faithful,0,high,The primary body color of the main car is red.,"Output color tokens match reviewer judgment: positive=['red'], negated=[].",Red SUV.
train_02608_S3,train_02608,S3,red,red,0,faithful,faithful,0,high,"The main car in the picture is actually red, not blue.","Output color tokens match reviewer judgment: positive=['red'], negated=['blue'].",Red SUV.
train_02608_S4,train_02608,S4,red,red,0,hallucination,hallucination,0,high,The main car body is dark blue.,Output leans to conflict color blue: positive=['blue'].,Red SUV.
train_02608_S5,train_02608,S5,red,red,0,faithful,faithful,0,high,The main car in the picture is red.,"Output color tokens match reviewer judgment: positive=['red'], negated=[].",Red SUV.
train_02608_S6,train_02608,S6,red,red,0,faithful,faithful,0,high,The main car's body color is red.,"Output color tokens match reviewer judgment: positive=['red'], negated=[].",Red SUV.
train_02608_S7,train_02608,S7,red,red,0,faithful,faithful,0,high,"The main car in the image is red, not blue.","Output color tokens match reviewer judgment: positive=['red'], negated=['blue'].",Red SUV.
train_04760_S0,train_04760,S0,black,white,1,hallucination,faithful,1,high,The primary body color of the main car is white.,Output stays within a white / silver-white description: positive=['white'].,White coupe in a dark scene; previous black tag is image-darkness leakage.
train_04760_S1,train_04760,S1,black,white,1,hallucination,faithful,1,high,The main car in the picture is primarily white.,Output stays within a white / silver-white description: positive=['white'].,White coupe in a dark scene; previous black tag is image-darkness leakage.
train_04760_S2,train_04760,S2,black,white,1,hallucination,faithful,1,high,The primary body color of the main car is white.,Output stays within a white / silver-white description: positive=['white'].,White coupe in a dark scene; previous black tag is image-darkness leakage.
train_04760_S3,train_04760,S3,black,white,1,faithful,hallucination,1,high,"The main car in the image actually has a dark color, not white.",Output negates the reviewer-judged color white.,White coupe in a dark scene; previous black tag is image-darkness leakage.
train_04760_S4,train_04760,S4,black,white,1,hallucination,faithful,1,high,The main car body is light white.,Output stays within a white / silver-white description: positive=['white'].,White coupe in a dark scene; previous black tag is image-darkness leakage.
train_04760_S5,train_04760,S5,black,white,1,hallucination,faithful,1,high,The main car's body color is white.,Output stays within a white / silver-white description: positive=['white'].,White coupe in a dark scene; previous black tag is image-darkness leakage.
train_04760_S6,train_04760,S6,black,white,1,hallucination,faithful,1,high,The main car's body color is white.,Output stays within a white / silver-white description: positive=['white'].,White coupe in a dark scene; previous black tag is image-darkness leakage.
train_04760_S7,train_04760,S7,black,white,1,hallucination,faithful,1,high,"The main car body is a shade of white that is commonly associated with BMW vehicles. It is a light, almost silver-white color.","Output stays within a white / silver-white description: positive=['silver', 'white'].",White coupe in a dark scene; previous black tag is image-darkness leakage.
train_05311_S0,train_05311,S0,black,black,0,faithful,faithful,0,high,The primary body color of the main car is black.,"Output color tokens match reviewer judgment: positive=['black'], negated=[].",Black rear-view coupe.
train_05311_S1,train_05311,S1,black,black,0,faithful,faithful,0,high,The main car in the picture is black.,"Output color tokens match reviewer judgment: positive=['black'], negated=[].",Black rear-view coupe.
train_05311_S2,train_05311,S2,black,black,0,faithful,faithful,0,high,The primary body color of the main car is black.,"Output color tokens match reviewer judgment: positive=['black'], negated=[].",Black rear-view coupe.
train_05311_S3,train_05311,S3,black,black,0,faithful,faithful,0,high,"The main car in the picture is actually black, not white.","Output color tokens match reviewer judgment: positive=['black'], negated=['white'].",Black rear-view coupe.
train_05311_S4,train_05311,S4,black,black,0,hallucination,hallucination,0,high,The main car body is dark white.,Output leans to conflict color white: positive=['white'].,Black rear-view coupe.
train_05311_S5,train_05311,S5,black,black,0,faithful,faithful,0,high,The main car's body color is black.,"Output color tokens match reviewer judgment: positive=['black'], negated=[].",Black rear-view coupe.
train_05311_S6,train_05311,S6,black,black,0,faithful,faithful,0,high,The main car's body color is black.,"Output color tokens match reviewer judgment: positive=['black'], negated=[].",Black rear-view coupe.
train_05311_S7,train_05311,S7,black,black,0,hallucination,hallucination,0,high,"The main car body is a shade of white that is light and clean, typical of a new or well-maintained vehicle.",Output leans to conflict color white: positive=['white'].,Black rear-view coupe.
train_05584_S0,train_05584,S0,blue,silver,1,needs_manual_review,faithful,1,high,The primary body color of the main car is silver.,"Output color tokens match reviewer judgment: positive=['silver'], negated=[].",Silver coupe; previous blue tag is incorrect.
train_05584_S1,train_05584,S1,blue,silver,1,needs_manual_review,faithful,1,high,The primary body color of the main car is silver.,"Output color tokens match reviewer judgment: positive=['silver'], negated=[].",Silver coupe; previous blue tag is incorrect.
train_05584_S2,train_05584,S2,blue,silver,1,needs_manual_review,faithful,1,high,The primary body color of the main car is silver.,"Output color tokens match reviewer judgment: positive=['silver'], negated=[].",Silver coupe; previous blue tag is incorrect.
train_05584_S3,train_05584,S3,blue,silver,1,needs_manual_review,faithful,1,high,"The main car in the picture is actually silver, not red.","Output color tokens match reviewer judgment: positive=['silver'], negated=['red'].",Silver coupe; previous blue tag is incorrect.
train_05584_S4,train_05584,S4,blue,silver,1,hallucination,hallucination,0,high,The main car body is dark red.,Output leans to conflict color red: positive=['red'].,Silver coupe; previous blue tag is incorrect.
train_05584_S5,train_05584,S5,blue,silver,1,needs_manual_review,faithful,1,high,The main car in the picture has a silver body color.,"Output color tokens match reviewer judgment: positive=['silver'], negated=[].",Silver coupe; previous blue tag is incorrect.
train_05584_S6,train_05584,S6,blue,silver,1,needs_manual_review,faithful,1,high,The main car's body color is silver.,"Output color tokens match reviewer judgment: positive=['silver'], negated=[].",Silver coupe; previous blue tag is incorrect.
train_05584_S7,train_05584,S7,blue,silver,1,needs_manual_review,faithful,1,high,"The main car in the image is silver, not red.","Output color tokens match reviewer judgment: positive=['silver'], negated=['red'].",Silver coupe; previous blue tag is incorrect.
train_06380_S0,train_06380,S0,orange,orange,0,faithful,faithful,0,high,The primary body color of the main car is orange.,"Output color tokens match reviewer judgment: positive=['orange'], negated=[].",Orange sports car.
train_06380_S1,train_06380,S1,orange,orange,0,faithful,faithful,0,high,The primary body color of the main car in the picture is orange.,"Output color tokens match reviewer judgment: positive=['orange'], negated=[].",Orange sports car.
train_06380_S2,train_06380,S2,orange,orange,0,faithful,faithful,0,high,The primary body color of the main car is orange.,"Output color tokens match reviewer judgment: positive=['orange'], negated=[].",Orange sports car.
train_06380_S3,train_06380,S3,orange,orange,0,faithful,faithful,0,high,The main car in the image actually has an orange body color.,"Output color tokens match reviewer judgment: positive=['orange'], negated=[].",Orange sports car.
train_06380_S4,train_06380,S4,orange,orange,0,hallucination,hallucination,0,high,The main car body is dark blue.,Output leans to conflict color blue: positive=['blue'].,Orange sports car.
train_06380_S5,train_06380,S5,orange,orange,0,faithful,faithful,0,high,The main car in the image has an orange body color.,"Output color tokens match reviewer judgment: positive=['orange'], negated=[].",Orange sports car.
train_06380_S6,train_06380,S6,orange,orange,0,faithful,faithful,0,high,The main car's body color is orange.,"Output color tokens match reviewer judgment: positive=['orange'], negated=[].",Orange sports car.
train_06380_S7,train_06380,S7,orange,orange,0,hallucination,hallucination,0,high,"The main car body is a shade of blue that is similar to the color of the sky on a clear day. It is a light, almost pastel blue, giving the car a sleek and modern appearance.",Output leans to conflict color blue: positive=['blue'].,Orange sports car.
train_07332_S0,train_07332,S0,red,red,0,faithful,faithful,0,high,The primary body color of the main car is red.,"Output color tokens match reviewer judgment: positive=['red'], negated=[].",Red SUV.
train_07332_S1,train_07332,S1,red,red,0,faithful,faithful,0,high,The primary body color of the main car is red.,"Output color tokens match reviewer judgment: positive=['red'], negated=[].",Red SUV.
train_07332_S2,train_07332,S2,red,red,0,faithful,faithful,0,high,The primary body color of the main car is red.,"Output color tokens match reviewer judgment: positive=['red'], negated=[].",Red SUV.
train_07332_S3,train_07332,S3,red,red,0,needs_manual_review,faithful,1,high,The main car in the image actually has a red body color. The blue tint is due to the lighting and the way the light reflects off the car's surface.,"Output color tokens match reviewer judgment: positive=['blue', 'red'], negated=[].",Red SUV.
train_07332_S4,train_07332,S4,red,red,0,hallucination,hallucination,0,high,The main car body is dark blue.,Output leans to conflict color blue: positive=['blue'].,Red SUV.
train_07332_S5,train_07332,S5,red,red,0,faithful,faithful,0,high,The main car's body color is red.,"Output color tokens match reviewer judgment: positive=['red'], negated=[].",Red SUV.
train_07332_S6,train_07332,S6,red,red,0,faithful,faithful,0,high,The main car's body color is red.,"Output color tokens match reviewer judgment: positive=['red'], negated=[].",Red SUV.
train_07332_S7,train_07332,S7,red,red,0,faithful,faithful,0,high,The main car body is red.,"Output color tokens match reviewer judgment: positive=['red'], negated=[].",Red SUV.
train_07828_S0,train_07828,S0,white,white,0,faithful,faithful,0,high,The primary body color of the main car is white.,Output stays within a white / silver-white description: positive=['white'].,White van.
train_07828_S1,train_07828,S1,white,white,0,faithful,faithful,0,high,The primary body color of the main car is white.,Output stays within a white / silver-white description: positive=['white'].,White van.
train_07828_S2,train_07828,S2,white,white,0,faithful,faithful,0,high,The primary body color of the main car is white.,Output stays within a white / silver-white description: positive=['white'].,White van.
train_07828_S3,train_07828,S3,white,white,0,faithful,faithful,0,high,"The main car in the picture is actually white, not black.",Output stays within a white / silver-white description: positive=['white'].,White van.
train_07828_S4,train_07828,S4,white,white,0,hallucination,hallucination,0,high,The main car body is light black.,Output leans to conflict color black: positive=['black'].,White van.
train_07828_S5,train_07828,S5,white,white,0,faithful,faithful,0,high,The main car's body color is white.,Output stays within a white / silver-white description: positive=['white'].,White van.
train_07828_S6,train_07828,S6,white,white,0,faithful,faithful,0,high,The main car's body color is white.,Output stays within a white / silver-white description: positive=['white'].,White van.
train_07828_S7,train_07828,S7,white,white,0,faithful,faithful,0,high,"The main car in the image is white, not black.",Output stays within a white / silver-white description: positive=['white'].,White van.
